"ProbeID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","diffexpressed"
"210233_at",-4.11425908116066,6.84561256433333,-12.5000174745035,8.06483906293932e-27,2.59085326908415e-23,50.0601207223289,"IL1RAP","DOWN"
"230425_at",-2.028968707153,3.63739653905556,-12.4900778504155,8.64894942378394e-27,2.62413930489507e-23,49.9920715452008,"EPHB1","DOWN"
"1553722_s_at",-1.46258785415191,4.24351769627778,-12.4776800839992,9.43707755941562e-27,2.71256377238087e-23,49.9072006606788,"RNF152","DOWN"
"202768_at",-3.73109516857486,6.8787649330505,-12.4623458522392,1.05117911758628e-26,2.87040225743697e-23,49.802239161543,"FOSB","DOWN"
"1557225_at",-1.58724948794535,4.96892327171717,-12.3884702896211,1.76702978870375e-26,4.59537132621323e-23,49.2967498798192,"ASPG","DOWN"
"243146_at",-2.69147980464918,3.99669736648485,-12.1791637580768,7.68174382804825e-26,1.90692307127818e-22,47.8663719870064,"ADRA1A","DOWN"
"1557226_a_at",-1.5477460587224,6.41182086164141,-12.1046312264738,1.29534952306985e-25,3.07577928275712e-22,47.357728027019,"ASPG","DOWN"
"214349_at",-1.81984379208306,5.72311030926263,-12.0095372308033,2.52137696119392e-25,5.73749833257015e-22,46.7093524741744,NA,"DOWN"
"218002_s_at",-3.69005879471584,4.58755180764141,-11.8362451668003,8.4699603355202e-25,1.85027977521506e-21,45.5296429762283,"CXCL14","DOWN"
"236576_at",-1.7941095371224,3.8095102695202,-11.7421056457697,1.63401397141852e-24,3.4322463469646e-21,44.8898545391316,"CTNNA3","DOWN"
"230478_at",-3.83562790113661,5.36965885049495,-11.5269841883225,7.31002312459308e-24,1.42579390322643e-20,43.4310029375533,"OIT3","DOWN"
"204159_at",2.81754738115847,7.64621490431313,11.3691224435158,2.18772498225056e-23,3.98260748185499e-20,42.363511617887,"CDKN2C","UP"
"215712_s_at",-2.44287220752787,6.027142692,-11.373151356452,2.12744403177262e-23,3.98260748185499e-20,42.3907215368948,"IGFALS","DOWN"
"202963_at",2.26875195610601,8.09960548878283,11.3080633463102,3.34034211367168e-23,5.88471302754682e-20,41.9513680639399,"RFX5","UP"
"218039_at",3.20432578830055,8.05901093164141,11.2024973048179,6.93567717558136e-23,1.18368167996883e-19,41.2398503551782,"NUSAP1","UP"
"205984_at",-3.91630683701093,4.82726251988384,-11.0926563325027,1.48105265937153e-22,2.45105239049264e-19,40.5009903490572,"CRHBP","DOWN"
"222077_s_at",3.12612496131039,7.51576556512626,11.0674427840737,1.76239129858245e-22,2.83086694086716e-19,40.3316081934405,"RACGAP1","UP"
"205911_at",-1.04122842074754,5.91378325781818,-11.0595943064486,1.86039931741468e-22,2.90291394062766e-19,40.2789000510298,"PTH1R","DOWN"
"223699_at",-4.83494742425573,5.74024339145455,-10.9877358737888,3.05230016478898e-22,4.63042413610057e-19,39.7967044490558,"CNDP1","DOWN"
"211492_s_at",-1.30762040774098,3.88445765389394,-10.9186044979098,4.91118973151103e-22,7.24904877856789e-19,39.3334792395246,"ADRA1A","DOWN"
"211489_at",-2.75914925476721,5.63733317872727,-10.9122737099868,5.12964781881079e-22,7.37224885075563e-19,39.2910924744291,"ADRA1A","DOWN"
"201841_s_at",2.02531154425355,11.3456947423737,10.8239438863264,9.40870029891509e-22,1.31753166519141e-18,38.7002978800248,"HSPB1","UP"
"1568765_at",-3.30298783866885,5.18288228854545,-10.7053115875359,2.12094968056604e-21,2.89578562261882e-18,37.9086540163112,"SERPINE1","DOWN"
"230135_at",-2.65722193213333,4.09533551882828,-10.6710760739084,2.68053151381744e-21,3.57053335522224e-18,37.6806011645621,"HHIP","DOWN"
"206732_at",-1.90712802821748,3.59832449679293,-10.6465130949865,3.17051625338643e-21,4.12265247967126e-18,37.5170941969311,"SLITRK3","DOWN"
"232072_at",-1.08631812208962,4.43418932114141,-10.5828062209673,4.89808563856509e-21,6.22091048788268e-18,37.0934730083785,"NAAA","DOWN"
